Date,Open,High,Low,Close,Adj Close,Volume
2013-06-06,2939.250000,3004.000000,2910.500000,2920.250000,2920.250000,1404326
2013-06-13,2922.750000,3003.500000,2897.750000,2961.500000,2961.500000,942709
2013-06-20,2960.750000,2962.250000,2817.750000,2883.000000,2883.000000,1161893
2013-06-27,2885.750000,2949.000000,2882.250000,2936.500000,2936.500000,1012550
2013-07-04,2937.750000,3014.000000,2927.750000,2996.250000,2996.250000,743884
2013-07-11,3011.500000,3086.500000,3011.500000,3079.250000,3079.250000,807720
2013-07-18,3075.250000,3087.000000,3023.500000,3048.000000,3048.000000,871597
2013-07-25,3052.500000,3105.000000,3027.500000,3083.000000,3083.000000,1140492
2013-08-01,3088.750000,3140.250000,3088.750000,3116.000000,3116.000000,855398
2013-08-08,3117.250000,3148.000000,3094.250000,3123.250000,3123.250000,1054715
2013-08-15,3113.000000,3114.750000,3059.250000,3062.500000,3062.500000,1104938
2013-08-22,3060.750000,3147.250000,3052.500000,3068.250000,3068.250000,1229998
2013-08-29,3068.250000,3132.000000,3062.000000,3128.250000,3128.250000,1002986
2013-09-05,3131.500000,3189.250000,3096.500000,3178.500000,3178.500000,1077809
2013-09-12,3184.250000,3236.250000,3161.750000,3228.750000,3228.750000,791855
2013-09-19,3232.000000,3251.500000,3195.750000,3200.000000,3200.000000,727309
2013-09-26,3202.500000,3251.250000,3178.250000,3237.500000,3237.500000,1184110
2013-10-03,3239.750000,3248.000000,3110.750000,3132.500000,3132.500000,1461865
2013-10-10,3132.750000,3276.500000,3132.750000,3264.000000,3264.000000,1576601
2013-10-17,3260.250000,3377.250000,3255.250000,3340.000000,3340.000000,1180125
2013-10-24,3342.250000,3401.750000,3335.500000,3392.250000,3392.250000,1064427
2013-10-31,3380.000000,3398.000000,3355.750000,3376.000000,3376.000000,1137470
2013-11-07,3374.000000,3406.750000,3310.000000,3402.000000,3402.000000,1273076
2013-11-14,3392.500000,3425.750000,3358.500000,3366.500000,3366.500000,1133783
2013-11-21,3367.750000,3472.250000,3360.250000,3468.500000,3468.500000,1025531
2013-11-28,3469.000000,3501.250000,3453.250000,3482.500000,3482.500000,699940
2013-12-05,3482.500000,3524.750000,3464.500000,3470.500000,3470.500000,1158999
2013-12-12,3471.250000,3513.500000,3422.000000,3512.750000,3512.750000,974423
2013-12-19,3513.500000,3572.750000,3482.500000,3569.750000,3569.750000,428130
2013-12-26,3572.750000,3594.750000,3556.000000,3583.750000,3583.750000,286470
2014-01-02,3575.750000,3579.000000,3505.750000,3564.750000,3564.750000,901371
2014-01-09,3562.750000,3610.250000,3492.500000,3598.250000,3598.250000,1312748
2014-01-16,3598.500000,3629.500000,3574.250000,3620.500000,3620.500000,862959
2014-01-23,3625.500000,3635.250000,3454.250000,3473.000000,3473.000000,1593171
2014-01-30,3480.000000,3537.250000,3412.000000,3445.500000,3445.500000,1801568
2014-02-06,3450.250000,3633.500000,3447.750000,3624.500000,3624.500000,1447458
2014-02-13,3623.250000,3684.750000,3596.750000,3654.500000,3654.500000,973011
2014-02-20,3654.500000,3702.250000,3638.250000,3673.750000,3673.750000,1176649
2014-02-27,3680.250000,3732.500000,3637.000000,3728.250000,3728.250000,1501213
2014-03-06,3731.500000,3740.500000,3661.500000,3706.750000,3706.750000,1178541
2014-03-13,3708.000000,3722.250000,3608.500000,3681.750000,3681.750000,1141710
2014-03-20,3681.250000,3718.000000,3570.750000,3572.750000,3572.750000,1276294
2014-03-27,3577.750000,3668.500000,3535.250000,3658.250000,3658.250000,1672948
2014-04-03,3658.250000,3669.000000,3474.500000,3591.000000,3591.000000,2037582
2014-04-10,3593.250000,3599.500000,3404.750000,3501.500000,3501.500000,2375541
2014-04-17,3505.500000,3599.500000,3492.500000,3554.500000,3554.500000,1035924
2014-04-24,3595.750000,3618.250000,3480.500000,3573.250000,3573.250000,1761212
2014-05-01,3577.000000,3605.500000,3497.500000,3540.500000,3540.500000,1277872
2014-05-08,3539.250000,3624.250000,3510.500000,3596.250000,3596.250000,1624253
2014-05-15,3599.250000,3635.750000,3540.250000,3633.500000,3633.500000,1446858
2014-05-22,3631.500000,3730.250000,3631.250000,3716.000000,3716.000000,845520
2014-05-29,3716.250000,3749.250000,3707.250000,3743.250000,3743.250000,1027093
2014-06-05,3743.500000,3804.750000,3734.000000,3798.250000,3798.250000,976123
2014-06-12,3797.500000,3807.500000,3751.500000,3803.500000,3803.500000,889070
2014-06-19,3801.750000,3828.000000,3781.250000,3814.750000,3814.750000,720327
2014-06-26,3812.750000,3896.500000,3789.000000,3889.750000,3889.750000,1022573
2014-07-03,3890.500000,3918.000000,3841.250000,3885.500000,3885.500000,778338
2014-07-10,3886.500000,3941.000000,3831.500000,3922.500000,3922.500000,1258783
2014-07-17,3919.000000,3983.250000,3854.000000,3975.500000,3975.500000,1306236
2014-07-24,3978.000000,3991.250000,3929.000000,3968.500000,3968.500000,1059653
2014-07-31,3968.750000,3970.250000,3842.000000,3868.750000,3868.750000,1768284
2014-08-07,3869.250000,3949.500000,3826.500000,3945.750000,3945.750000,1336528
2014-08-14,3946.500000,4046.500000,3939.500000,4039.500000,4039.500000,1051521
2014-08-21,4039.750000,4078.500000,4032.750000,4072.750000,4072.750000,835889
2014-08-28,4071.500000,4113.750000,4054.500000,4071.750000,4071.750000,657878
2014-09-04,4071.750000,4110.500000,4052.000000,4093.000000,4093.000000,1418974
2014-09-11,4093.000000,4097.000000,4012.000000,4072.500000,4072.500000,1023663
2014-09-18,4077.000000,4127.750000,4027.500000,4087.750000,4087.750000,954285
2014-09-25,4085.250000,4088.500000,3965.500000,3982.500000,3982.500000,1716022
2014-10-02,3981.500000,4041.750000,3927.750000,4030.500000,4030.500000,1883679
2014-10-09,4029.000000,4047.750000,3691.250000,3752.000000,3752.000000,2976552
2014-10-16,3751.000000,3983.000000,3684.000000,3949.250000,3949.250000,2702605
2014-10-23,3947.000000,4099.750000,3939.500000,4072.250000,4072.250000,1515100
2014-10-30,4072.250000,4176.250000,4043.000000,4142.500000,4142.500000,1495946
2014-11-06,4144.250000,4198.750000,4130.250000,4196.000000,4196.000000,1032575
2014-11-13,4193.500000,4248.750000,4191.500000,4223.750000,4223.750000,1160671
2014-11-20,4223.750000,4323.750000,4201.750000,4317.750000,4317.750000,1063508
2014-11-27,4323.500000,4348.000000,4273.500000,4310.500000,4310.500000,820720
2014-12-04,4312.000000,4328.500000,4216.750000,4227.000000,4227.000000,1298686
2014-12-11,4228.250000,4298.000000,4084.250000,4162.750000,4162.750000,1461893
2014-12-18,4164.500000,4312.000000,4154.000000,4282.500000,4282.500000,748531
2014-12-25,4282.000000,4322.000000,4228.000000,4232.750000,4232.750000,319805
2015-01-01,4240.250000,4272.750000,4082.000000,4151.500000,4151.500000,1116394
2015-01-08,4152.250000,4252.500000,4100.500000,4145.500000,4145.500000,1738289
2015-01-15,4147.500000,4205.250000,4041.500000,4182.750000,4182.750000,1613313
2015-01-22,4183.750000,4286.250000,4119.500000,4124.250000,4124.250000,1444184
2015-01-29,4125.000000,4243.000000,4085.500000,4204.000000,4204.000000,1704513
2015-02-05,4191.000000,4322.000000,4181.500000,4296.500000,4296.500000,1147416
2015-02-12,4308.500000,4393.500000,4285.750000,4386.000000,4386.000000,811390
2015-02-19,4390.250000,4461.000000,4376.000000,4436.750000,4436.750000,846034
